gel;sample;E_Maximum;E_Minimum;E_Mean;E_Std
20-1;20-1.1.CSV;398662,1776180593;385844,54810617695;391039,8129113379;4552,858966826991
20-1;20-1.2.CSV;457640,2839406859;441889,796752934;448439,47567792604;5244,462760809412
20-2;20-2.1.CSV;606747,9361137354;576186,2839065604;590638,9406385474;11415,378352078229
20-2;20-2.2.CSV;662856,3452969553;654103,4943694746;660168,0543834596;2858,3640733054513
20-3;20-3.1.CSV;464334,043402267;437253,4965132349;449250,89928399335;8129,779344199308
20-3;20-3.2.CSV;498365,1354215788;485613,4341607905;491474,24218012375;4428,200696515678
20-4;20-4.1.CSV;271015,3039499;258890,3259280071;265749,17977670167;3516,1904161077905
20-4;20-4.2.CSV;268009,40722036554;258178,75645650172;262210,9924903793;3102,3766835475617
20-5;20-5.1.CSV;;;;
20-5;20-5.2.CSV;;;;
20-6;20-6.1.CSV;184794,54975201082;167218,04392272566;177268,55600307547;5838,774298830918
20-6;20-6.1tdf.CSV;185202,33962470648;167557,07027407733;177655,25590947983;5862,1371689241905
20-6;20-6.2.CSV;159456,72542187842;150277,8209309195;154677,81468097225;2663,891729466955
20RGD-1;20RGD-1.1.CSV;502815,7464877557;464767,1788489272;479583,0638731197;13315,26343226232
20RGD-1;20RGD-1.2.CSV;678931,3962696029;667965,0630372928;672406,4182245287;3370,050784946926
20RGD-2;20RGD-2.1.CSV;;;;
20RGD-2;20RGD-2.2.CSV;;;;
20RGD-3;20RGD-3.1.CSV;450131,5104350308;421337,19369519386;436922,50860668684;8304,628711446465
20RGD-3;20RGD-3.2.CSV;441108,27621873864;431701,9404214734;435382,8231237888;2920,400833779048
20RGD-5;20RGD-5.1.CSV;325096,79854958516;299150,84096797666;313320,6200460154;6982,75657560237
20RGD-5;20RGD-5.2.CSV;328650,3381195759;307869,16902766196;318669,1350846771;6792,856123506662
20RGD-6;20RGD-6.1.CSV;277666,9322376319;244873,72366390497;264390,59996480093;9193,695257964386
20RGD-6;20RGD-6.2.CSV;288298,41990155453;271533,18379716785;280460,5929174096;4997,284444100033
20RGD-7;20RGD-7.1.CSV;606249,4783143941;573383,5620816656;589285,9305854789;9831,89154435599
20RGD-7;20RGD-7.2.CSV;624758,6631152069;594464,1683053195;610422,1191545093;8167,986809513785
20RGD-8;20RGD-8.1.CSV;463952,80478804;440341,0946877141;453740,4280273325;7075,593435711935
20RGD-8;20RGD-8.2.CSV;467311,3260617088;443210,9072381819;454703,01638462656;7868,367963329004
40-1;40-1.1.CSV;113214,07678027118;87500,68123750527;100507,74299024139;7479,7286641177625
40-1;40-1.2.CSV;128730,12811632501;109924,68378294903;116641,80382938693;5515,124787837346
40-2;40-2.1.CSV;124327,3642967004;109550,07906509622;119264,4394079867;3896,0738341524793
40-2;40-2.1tdf.CSV;124615,67718048923;109808,41955393912;119529,00977055889;3899,68462367737
40-2;40-2.2.CSV;181024,30171536864;159531,7375264951;170785,0698131267;6802,428667112008
40-3;40-3.1.CSV;;;;
40-3;40-3.2.CSV;;;;
40-4;40-4.1.CSV;206092,04614452334;180394,48623679095;194774,7926562866;9523,61944346257
40-4;40-4.2.CSV;233232,94794513407;211585,4405096092;221721,708592612;6093,457505382269
40-5;40-5.1.CSV;146827,76817681958;119122,28235286787;129463,65710574074;8671,820580964108
40-5;40-5.2.CSV;207510,86673225136;161483,71448240805;181852,07422758845;14286,207740506215
40-6;40-6.1.CSV;158351,51266870458;129194,39804768519;142596,3157462186;7615,312151431839
40-6;40-6.2.CSV;159926,3066062577;136953,69475401007;148170,3324826953;7399,882542415134
40-7;40-7.1.CSV;135500,07523199412;99917,97205811318;115421,28923663837;10301,610418051248
40-7;40-7.2.CSV;180236,81830578347;160180,1162149002;170799,11799915618;6995,442711855901
40-8;40-8.1.CSV;;;;
40-8;40-8.2.CSV;;;;
40RGD-1;40RGD-1.1.CSV;262675,88399609365;251473,88374949785;257550,15577507697;3299,9889868952196
40RGD-2;40RGD-2.1.CSV;208792,8103120587;184283,87634069342;194743,0011952983;8305,92363942664
40RGD-2;40RGD-2.2.CSV;175184,95659007767;157182,1869746271;166232,60304044583;5176,269411796657
40RGD-3;40RGD-3.1.CSV;154967,07645036103;133994,92851697886;145479,96969026068;5982,649736985339
40RGD-3;40RGD-3.2.CSV;141986,07289556682;132832,6898665776;137587,2852266064;3402,1579313097714
40RGD-4;40RGD-4.1.CSV;187950,97584953214;166972,1089221182;172979,77206432796;5941,498721563287
40RGD-4;40RGD-4.2.CSV;224840,51482289494;197744,84225397406;213484,86443178446;7171,458249602366
40RGD-5;40RGD-5.1.CSV;218370,091495079;172243,8372298089;199966,23103502806;15307,34088750537
40RGD-5;40RGD-5.1b.CSV;177474,26436219394;161315,55623577227;169658,37170618636;4935,231449136524
40RGD-5;40RGD-5.2.CSV;186234,10759620075;166003,3281959531;176729,0793994931;6426,469055221938
40RGD-6;40RGD-6.1.CSV;121190,23115673798;90343,22272547007;102873,30758626095;8958,807971865792
40RGD-6;40RGD-6.2.CSV;93496,37632107161;83254,66314934903;89562,55673280699;2884,4898660732824
40RGD-7;40RGD-7.1.CSV;239551,51739354213;225262,20578712368;232473,5386401419;4518,578903809625
40RGD-7;40RGD-7.2.CSV;236773,2173545721;221952,6205551382;230463,7039835305;3592,998892878298
Wasser1;Wasser1.1.CSV;;;;
Wasser1;Wasser1.2.CSV;;;;
